,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3
49,1,37,12,30720,5.0,9,17.0,3,14,11,7,3,2,3.0,4.0,3.0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
50,1,28,11,56730,5.0,9,5.0,4,3,2,2,1,2,4.0,3.0,3.0,0,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
51,1,25,1,32120,1.0,7,1.0,3,1,0,0,3,2,1.0,2.0,1.0,0,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
52,0,32,7,50700,4.0,12,10.0,6,8,0,7,3,4,2.0,4.0,3.0,1,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
53,0,24,4,43350,1.0,15,5.0,5,5,0,3,3,4,4.0,4.0,3.0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False
54,0,32,3,53260,4.0,14,7.0,2,4,0,3,3,3,3.0,2.0,4.0,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False
55,0,39,10,62200,1.0,14,20.0,2,20,11,10,3,4,3.0,3.0,3.0,1,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
56,0,33,2,168800,1.0,14,9.0,2,9,2,8,3,3,2.0,2.0,3.0,1,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
57,0,44,7,68610,4.0,12,8.0,2,2,2,2,3,3,2.0,3.0,3.0,2,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
58,0,58,22,21870,1.0,18,2.0,1,2,2,2,3,4,2.0,4.0,4.0,3,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
59,0,40,1,37800,7.0,12,7.0,2,5,1,3,3,4,4.0,2.0,3.0,1,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
60,0,50,2,42940,2.0,20,32.0,2,30,12,13,4,4,4.0,3.0,4.0,2,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
61,0,43,5,20280,4.0,20,7.0,2,5,2,2,4,2,3.0,4.0,3.0,2,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
62,0,38,2,27780,2.0,13,8.0,5,3,1,2,3,3,2.0,3.0,4.0,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
63,1,33,12,67280,7.0,21,15.0,2,7,7,7,4,1,4.0,2.0,4.0,1,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
64,0,32,2,21090,0.0,13,4.0,3,3,2,2,3,4,4.0,2.0,3.0,1,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False
65,0,36,1,35050,1.0,12,10.0,2,10,1,8,3,3,4.0,4.0,4.0,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False
66,0,42,8,28370,2.0,13,19.0,0,5,0,2,3,3,3.0,3.0,4.0,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False
67,1,22,8,37850,5.0,9,4.0,2,2,1,2,3,2,3.0,2.0,2.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False
68,0,57,2,61620,0.0,14,13.0,5,12,2,8,3,2,3.0,3.0,2.0,3,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
69,0,40,5,104820,1.0,11,21.0,6,21,12,8,3,4,1.0,4.0,4.0,1,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False
70,0,46,2,49410,9.0,13,23.0,2,2,2,2,3,4,4.0,4.0,4.0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
71,0,38,15,24510,7.0,12,19.0,3,13,2,9,3,3,4.0,4.0,4.0,1,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
72,0,36,18,21320,4.0,20,9.0,1,3,0,2,4,3,1.0,4.0,3.0,1,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
73,0,42,6,60620,1.0,22,12.0,2,12,5,8,4,4,4.0,2.0,2.0,2,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
74,0,35,1,167920,3.0,12,16.0,3,13,4,8,3,3,1.0,3.0,4.0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
75,0,34,10,23410,1.0,20,8.0,3,8,0,6,4,4,4.0,3.0,2.0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
76,0,38,1,64720,0.0,12,17.0,4,16,5,13,3,4,4.0,4.0,3.0,1,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
77,0,27,6,45990,1.0,15,1.0,3,1,0,0,3,3,1.0,3.0,3.0,0,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False
78,0,49,2,47240,1.0,11,16.0,3,15,5,11,3,3,3.0,4.0,3.0,2,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
79,0,44,21,107610,3.0,11,24.0,5,20,14,17,3,2,4.0,4.0,3.0,2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False
80,0,43,6,24390,0.0,15,9.0,2,8,1,7,3,3,4.0,3.0,4.0,2,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False
81,0,58,2,26220,2.0,23,24.0,3,6,0,4,4,4,2.0,2.0,3.0,3,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
82,0,27,2,37080,1.0,16,6.0,2,6,4,4,3,3,3.0,4.0,4.0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
83,0,35,4,48830,1.0,18,10.0,1,10,0,9,3,3,2.0,4.0,4.0,1,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
84,0,38,3,23060,2.0,19,13.0,5,4,1,2,3,4,1.0,4.0,3.0,1,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False
85,0,39,23,54600,6.0,13,21.0,3,19,15,2,3,2,4.0,2.0,4.0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
86,1,31,2,25720,1.0,9,10.0,3,10,4,7,3,1,2.0,2.0,3.0,1,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True
87,0,29,1,42400,1.0,14,10.0,2,10,0,9,3,3,3.0,3.0,3.0,0,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
88,1,32,6,34770,1.0,7,14.0,2,14,9,8,2,3,1.0,2.0,1.0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
89,0,50,15,53770,4.0,13,16.0,3,2,2,1,3,4,4.0,4.0,3.0,2,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
90,0,49,3,108450,3.0,24,27.0,4,4,1,2,4,2,2.0,3.0,3.0,2,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
91,0,34,14,27030,1.0,21,9.0,2,8,7,7,4,3,2.0,2.0,3.0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False
92,0,27,4,47350,0.0,13,6.0,2,5,1,1,3,4,4.0,3.0,3.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False
93,1,31,26,56890,3.0,13,12.0,2,1,0,0,1,3,3.0,1.0,3.0,1,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
94,0,25,6,41030,6.0,13,7.0,2,2,0,2,3,2,3.0,1.0,4.0,0,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
95,0,42,6,57140,5.0,11,10.0,2,0,0,0,3,2,4.0,4.0,4.0,2,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
96,0,42,9,178560,3.0,18,10.0,2,6,3,3,3,3,4.0,4.0,3.0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
97,0,50,2,29600,1.0,14,32.0,2,32,10,7,3,2,4.0,2.0,4.0,2,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
98,0,55,9,26930,1.0,18,36.0,6,36,2,13,3,2,4.0,3.0,3.0,3,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
99,0,35,2,22580,1.0,11,2.0,2,2,2,2,3,2,1.0,3.0,3.0,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
100,0,25,5,27680,0.0,22,5.0,0,4,1,1,4,3,1.0,2.0,3.0,0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False
101,0,20,1,47770,1.0,18,2.0,3,2,0,2,3,1,2.0,4.0,2.0,0,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
102,1,19,18,160640,1.0,9,1.0,3,1,0,0,3,4,4.0,1.0,1.0,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
103,0,32,12,101690,1.0,14,12.0,6,11,5,7,3,4,4.0,2.0,2.0,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
104,1,28,23,32040,6.0,14,5.0,4,2,2,1,3,1,2.0,2.0,3.0,0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False
105,1,20,13,93960,1.0,7,2.0,6,2,0,2,2,2,2.0,1.0,1.0,0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False
106,0,56,6,54670,1.0,24,13.0,6,13,1,9,4,2,3.0,4.0,3.0,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
107,0,30,2,20960,7.0,11,10.0,2,8,1,7,3,4,4.0,2.0,3.0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True
108,1,26,5,68540,2.0,2,5.0,5,3,0,2,3,3,2.0,1.0,2.0,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
109,0,33,6,112450,0.0,19,8.0,3,7,0,7,4,4,2.0,4.0,2.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
110,0,44,1,15630,5.0,15,9.0,3,4,1,3,3,3,2.0,3.0,3.0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
111,0,30,16,48100,8.0,18,8.0,3,4,0,3,3,4,2.0,4.0,3.0,0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
112,0,37,1,20080,3.0,22,15.0,5,13,10,7,4,4,4.0,3.0,4.0,1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False
113,0,38,2,23680,6.0,11,17.0,3,15,4,12,3,4,3.0,3.0,2.0,1,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False
114,0,30,10,57700,1.0,13,5.0,2,5,0,4,3,2,3.0,1.0,4.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False
115,0,48,2,62720,4.0,20,29.0,3,22,12,9,3,4,4.0,3.0,4.0,2,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
116,0,37,6,20280,1.0,16,9.0,3,9,7,7,3,4,4.0,4.0,2.0,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
117,0,41,1,55610,0.0,11,10.0,2,9,1,7,3,4,1.0,3.0,1.0,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
118,1,26,18,26130,6.0,15,6.0,2,4,1,2,2,2,2.0,3.0,2.0,0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
