,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3
16,0,38,6,68700,1.0,11,8.0,5,8,7,7,2,2,4.0,3.0,3.0,1,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
17,0,26,1,104470,1.0,18,6.0,3,6,1,4,3,3,2.0,4.0,1.0,0,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
18,0,50,6,96670,3.0,23,28.0,2,10,1,6,4,2,3.0,2.0,3.0,2,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
19,0,53,9,21480,3.0,11,21.0,2,5,1,3,2,4,1.0,2.0,2.0,3,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
21,0,29,13,65130,1.0,11,10.0,2,10,0,9,3,3,1.0,3.0,3.0,0,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False
22,0,55,1,67990,3.0,11,12.0,2,10,0,8,2,3,4.0,4.0,4.0,3,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
23,0,26,7,162910,1.0,22,5.0,3,5,3,3,4,2,3.0,4.0,3.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
24,0,37,4,27050,1.0,11,17.0,2,17,5,7,3,3,2.0,4.0,3.0,1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
25,0,38,2,44480,9.0,12,10.0,3,2,1,2,3,3,3.0,4.0,3.0,1,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
26,0,28,6,96370,1.0,13,5.0,6,5,0,2,3,3,1.0,2.0,4.0,0,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
27,0,49,1,35910,9.0,13,22.0,2,3,1,2,3,3,4.0,4.0,4.0,2,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False
28,0,36,4,54050,4.0,14,10.0,2,8,7,7,2,2,4.0,4.0,3.0,1,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
29,0,31,7,46840,1.0,16,2.0,4,2,2,2,3,3,4.0,4.0,2.0,1,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
30,0,37,7,15140,1.0,14,4.0,3,4,1,2,1,3,2.0,3.0,3.0,1,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
31,0,42,2,29560,5.0,13,23.0,2,20,4,8,3,2,4.0,4.0,4.0,2,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
32,0,35,16,51540,0.0,19,12.0,2,11,6,9,3,3,3.0,2.0,2.0,1,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
33,0,36,6,69620,4.0,12,4.0,2,1,0,0,3,4,3.0,2.0,4.0,1,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
34,0,51,2,56750,5.0,13,13.0,2,4,1,2,2,3,4.0,3.0,3.0,3,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
35,0,41,23,23790,1.0,12,22.0,6,22,0,4,3,4,4.0,3.0,3.0,2,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
36,0,18,6,38120,1.0,15,0.0,3,0,0,0,3,4,3.0,4.0,4.0,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
37,0,28,7,46480,0.0,23,9.0,2,8,0,7,4,3,3.0,3.0,4.0,0,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
38,0,31,6,29360,4.0,12,10.0,2,8,7,7,1,3,3.0,3.0,2.0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False
39,0,39,4,21050,0.0,20,19.0,3,18,3,7,4,3,3.0,2.0,3.0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
40,0,36,4,85780,7.0,21,11.0,4,9,0,8,4,2,3.0,4.0,4.0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
41,0,32,2,27060,1.0,21,13.0,4,13,4,8,4,3,4.0,2.0,2.0,1,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False
42,0,38,4,63840,3.0,19,19.0,4,10,0,1,2,4,4.0,3.0,4.0,1,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
43,0,58,2,39680,2.0,13,12.0,3,5,1,2,3,4,4.0,3.0,3.0,3,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
44,0,31,16,99070,0.0,13,6.0,3,5,0,3,3,3,2.0,3.0,4.0,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False
45,0,31,6,132250,3.0,21,9.0,2,2,1,0,4,4,3.0,4.0,3.0,1,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False
46,0,45,2,35400,1.0,13,24.0,6,24,9,11,1,4,3.0,4.0,3.0,2,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
47,0,31,13,28040,0.0,19,3.0,0,2,2,2,3,3,2.0,3.0,1.0,1,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
48,0,33,7,193920,6.0,12,12.0,3,10,8,8,3,4,4.0,3.0,3.0,1,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False
49,0,39,1,196650,1.0,22,21.0,6,21,11,10,4,2,1.0,3.0,3.0,1,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
50,0,43,6,24390,0.0,15,9.0,2,8,1,7,3,3,4.0,3.0,4.0,2,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False
51,0,49,1,73140,7.0,22,25.0,2,7,0,7,4,3,4.0,4.0,4.0,2,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
52,0,27,12,39020,1.0,22,4.0,2,4,1,2,4,4,2.0,2.0,2.0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False
53,0,32,1,26620,1.0,11,13.0,6,13,11,9,3,4,2.0,2.0,4.0,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
54,0,27,10,28560,1.0,12,5.0,5,5,0,4,2,4,4.0,4.0,4.0,0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False
55,0,31,19,10810,4.0,11,13.0,4,7,1,7,1,3,4.0,3.0,4.0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
56,0,32,6,24720,7.0,13,10.0,2,7,0,7,3,3,3.0,4.0,2.0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False
57,0,30,10,41970,1.0,13,11.0,3,10,1,9,3,3,4.0,4.0,3.0,0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
58,0,31,2,97130,1.0,17,10.0,5,10,8,9,3,4,3.0,4.0,4.0,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
59,0,39,15,20620,1.0,13,21.0,4,21,13,3,3,4,4.0,3.0,4.0,1,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
60,0,33,3,47880,3.0,11,9.0,0,7,0,1,3,4,4.0,2.0,3.0,1,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
61,0,47,3,59060,4.0,23,21.0,4,3,1,1,4,4,3.0,2.0,3.0,2,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
62,0,43,11,38860,1.0,17,9.0,2,9,0,0,3,4,4.0,3.0,4.0,2,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
63,0,27,2,168230,0.0,17,6.0,3,5,1,4,3,4,4.0,4.0,3.0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
64,0,54,1,29330,3.0,12,20.0,2,4,0,3,3,4,1.0,4.0,3.0,3,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
65,0,43,6,65000,8.0,23,10.0,3,1,0,0,4,3,1.0,2.0,2.0,2,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
66,0,45,2,171740,9.0,14,12.0,6,10,9,8,3,4,4.0,4.0,3.0,2,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False
67,0,40,2,50330,2.0,14,6.0,6,4,0,2,3,2,3.0,4.0,3.0,1,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
68,0,29,6,25870,0.0,22,4.0,3,3,2,2,4,3,3.0,4.0,3.0,0,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
69,0,30,8,55070,1.0,12,10.0,2,10,1,2,3,4,4.0,4.0,3.0,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
70,0,27,9,43930,1.0,18,8.0,2,8,0,7,3,4,3.0,4.0,3.0,0,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
71,0,37,1,133480,7.0,14,8.0,4,6,0,4,3,4,4.0,4.0,3.0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
72,0,38,22,65830,0.0,12,12.0,1,11,2,9,3,4,4.0,3.0,3.0,1,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
73,0,31,5,81030,1.0,15,11.0,5,11,4,10,3,4,4.0,3.0,3.0,1,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False
74,0,29,2,39780,1.0,11,7.0,0,7,1,7,3,4,4.0,4.0,3.0,0,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
75,0,35,13,25440,0.0,13,17.0,3,16,0,13,3,3,3.0,2.0,3.0,1,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False
76,0,23,16,53990,1.0,23,4.0,2,4,0,2,4,4,4.0,4.0,3.0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
77,0,41,7,54870,6.0,19,8.0,0,5,1,2,3,4,3.0,4.0,3.0,2,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
78,0,47,1,68340,3.0,16,5.0,2,0,0,0,3,3,2.0,1.0,4.0,2,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False
79,0,42,2,10910,2.0,22,16.0,0,1,0,0,4,3,2.0,4.0,3.0,2,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
80,0,29,18,57360,1.0,22,4.0,1,4,0,2,4,2,4.0,4.0,4.0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
81,0,42,6,22260,0.0,12,4.0,3,3,1,0,3,2,3.0,2.0,3.0,2,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
82,0,32,2,57470,1.0,13,8.0,0,8,0,7,3,4,4.0,4.0,2.0,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False
83,0,48,10,98540,3.0,16,15.0,2,0,0,0,3,3,4.0,4.0,3.0,2,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False
84,0,37,6,54670,4.0,12,13.0,2,7,6,7,3,3,3.0,4.0,4.0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
85,0,30,20,53800,7.0,21,4.0,0,2,2,2,4,4,4.0,2.0,3.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False
86,0,26,22,51510,1.0,15,8.0,3,8,7,7,1,4,3.0,2.0,4.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True
87,0,42,2,21330,3.0,13,14.0,2,1,0,0,2,3,3.0,4.0,4.0,2,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
88,0,36,22,24320,4.0,22,7.0,4,1,0,0,4,4,4.0,2.0,3.0,1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
89,0,36,5,47710,4.0,13,16.0,2,13,1,12,3,4,2.0,4.0,3.0,1,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
90,0,57,17,191610,2.0,18,15.0,2,3,1,2,3,1,1.0,4.0,4.0,3,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
91,0,40,6,50870,3.0,14,10.0,3,7,1,7,3,2,4.0,3.0,3.0,1,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False
92,0,21,1,28630,1.0,14,3.0,2,3,2,2,1,2,4.0,3.0,3.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
93,0,37,4,21440,6.0,19,17.0,3,5,0,3,2,4,4.0,3.0,4.0,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
94,0,46,2,30650,2.0,11,7.0,3,1,0,0,3,3,1.0,4.0,3.0,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
95,0,50,7,98880,6.0,15,20.0,2,4,1,3,3,4,4.0,3.0,3.0,2,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False
96,0,31,1,28670,0.0,24,3.0,5,2,2,2,4,3,4.0,4.0,4.0,1,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
97,0,29,1,66670,9.0,12,6.0,6,3,1,2,3,3,4.0,3.0,4.0,0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
98,0,35,23,50030,9.0,15,10.0,2,1,0,0,3,3,2.0,4.0,4.0,1,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
100,0,28,2,28580,1.0,12,7.0,2,7,0,7,3,2,4.0,4.0,4.0,0,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False
101,0,49,2,52040,8.0,14,26.0,3,5,0,0,3,4,2.0,4.0,2.0,2,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False
102,0,51,1,41050,4.0,22,18.0,2,7,0,7,4,1,4.0,3.0,4.0,3,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
103,0,36,12,96790,4.0,12,6.0,1,2,2,2,3,4,4.0,4.0,4.0,1,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
104,0,55,21,104480,2.0,13,30.0,3,5,1,2,3,1,1.0,4.0,4.0,3,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
105,0,24,1,28970,1.0,18,5.0,4,5,0,3,2,2,4.0,3.0,4.0,0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
106,0,30,2,59680,1.0,13,1.0,3,1,0,0,1,4,4.0,2.0,4.0,0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
107,0,22,13,29910,1.0,19,2.0,3,2,1,2,3,4,4.0,3.0,4.0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
108,0,36,1,196360,1.0,12,10.0,3,10,9,0,3,4,2.0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False
109,0,37,8,133410,1.0,14,18.0,3,18,12,17,2,3,4.0,4.0,4.0,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
110,0,40,5,43320,7.0,14,8.0,3,5,1,3,2,2,4.0,4.0,3.0,1,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
112,0,37,7,44400,2.0,11,18.0,3,1,0,1,3,4,4.0,3.0,4.0,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False
113,0,43,8,46170,1.0,11,25.0,2,25,3,9,3,4,4.0,4.0,3.0,2,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
114,0,40,5,26470,6.0,13,20.0,2,1,0,0,3,3,3.0,3.0,2.0,1,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
115,0,54,7,63230,4.0,23,24.0,2,4,1,2,4,4,4.0,3.0,4.0,3,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
116,0,34,22,56770,9.0,20,6.0,3,3,1,2,4,2,3.0,4.0,1.0,1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
117,0,31,8,21870,1.0,15,13.0,2,13,3,12,3,4,2.0,3.0,3.0,1,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
119,0,43,22,39770,4.0,18,8.0,3,5,0,2,1,4,4.0,3.0,3.0,2,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
120,0,25,6,86330,1.0,19,5.0,2,5,1,3,3,4,1.0,4.0,3.0,0,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
121,0,37,1,20080,3.0,22,15.0,5,13,10,7,4,3,4.0,4.0,4.0,1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False
122,0,31,19,44400,1.0,13,4.0,2,4,3,2,3,3,4.0,3.0,3.0,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False
123,0,39,21,30670,1.0,20,21.0,5,21,1,6,4,4,4.0,2.0,2.0,1,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
